id,name,category,brand,price,description,image_url
1,Smartphone X12,Electrónica,TechCorp,799,Teléfono inteligente con cámara de 108MP y batería de larga duración,
2,Zapatillas Runner Pro,Ropa,FastFeet,120,Zapatillas deportivas ligeras y transpirables,
3,Lámpara LED Minimal,Hogar,BrightLight,35,Lámpara de escritorio con ajuste de brillo y diseño minimalista,
4,Auriculares NoiseCancel,Electrónica,SoundMax,150,Auriculares inalámbricos con cancelación activa de ruido,
5,Mochila Adventure,Accesorios,TravelGear,80,Mochila resistente al agua ideal para excursiones y viajes,
6,Smartwatch FitBand,Electrónica,TechCorp,199,Reloj inteligente con monitor de ritmo cardíaco y notificaciones,
7,Cafetera Express,Hogar,CoffeeTime,60,Cafetera de cápsulas compacta con función automática de limpieza,
8,Camiseta Basic,Ropa,StyleWear,25,Camiseta de algodón suave disponible en varios colores,
9,Juego de Mesa Quest,Juguetes,FunGames,40,Divertido juego de estrategia para toda la familia,
10,Audífonos Gamer,XtremeSound,Electrónica,90,Auriculares con micrófono y sonido envolvente 7.1,
11,Laptop UltraBook 15,Electrónica,TechCorp,1200,Laptop ligera con procesador i7 y 16GB RAM,
12,Sofá Moderno,Hogar,FurnitureCo,550,Sofá de dos plazas con tapizado de tela resistente,
13,Chaqueta Outdoor,Ropa,FastFeet,140,Chaqueta impermeable y transpirable para actividades al aire libre,
14,Tablet S10,Electrónica,TechCorp,450,Tablet con pantalla de 10" y soporte para lápiz digital,
15,Reloj Clásico,Accesorios,TimeMaster,180,Reloj de pulsera elegante con correa de cuero,
16,Set Ollas Cocina,Hogar,KitchenPro,120,Ollas de acero inoxidable con tapas de vidrio,
17,Bicicleta MTB 300,Juguetes,SpeedCycle,350,Bicicleta de montaña con suspensión delantera,
18,Linterna LED Compact,Hogar,BrightLight,25,Linterna portátil con luz LED y batería recargable,
19,Pantalones Jeans,Ropa,StyleWear,45,Jeans de corte clásico y resistente al desgaste,
20,Cámara Fotográfica Pro,Electrónica,PhotoMax,650,Cámara DSLR con lente 18-55mm y estabilización,
21,Altavoz Bluetooth,Electrónica,SoundMax,85,Altavoz portátil resistente al agua con 10h de batería,
22,Bolso Casual,Accesorios,TravelGear,60,Bolso de hombro de tela resistente y compartimentos internos,
23,Juego de Construcción,Juguetes,FunGames,55,Kit de bloques de construcción para estimular creatividad,
24,Monitor Gaming 27,Electrónica,TechCorp,300,Monitor de 27" con 144Hz y tiempo de respuesta 1ms,
25,Chaqueta Invierno,Ropa,FastFeet,160,Chaqueta acolchada para clima frío con capucha,
26,Colchón Memory,Hogar,SleepWell,400,Colchón viscoelástico de alta densidad para confort,
27,Laptop Gamer 17,Electrónica,TechCorp,1500,Laptop con tarjeta gráfica dedicada y pantalla 17",
28,Zapatillas Casual,Ropa,StyleWear,70,Zapatillas de uso diario con suela cómoda,
29,Audífonos Deportivos,Electrónica,SoundMax,65,Auriculares resistentes al sudor con ajuste seguro,
30,Cafetera Italiana,Hogar,CoffeeTime,45,Cafetera manual de acero inoxidable para espresso,
31,Smartwatch Elegant,Accesorios,TimeMaster,210,Reloj inteligente con diseño elegante y funciones básicas,
32,Set Cuchillos Cocina,Hogar,KitchenPro,80,Cuchillos de acero inoxidable con soporte de madera,
33,Juego de Cartas,Juguetes,FunGames,15,Baraja de cartas para juegos clásicos y diversión familiar,
34,Tablet Kids,Electrónica,TechCorp,120,Tablet educativa con control parental y apps educativas,
35,Bolsa Gimnasio,Accesorios,TravelGear,40,Bolsa espaciosa y resistente para ropa deportiva,
36,Lámpara de Pie,Hogar,BrightLight,70,Lámpara con regulador de intensidad y diseño moderno,
37,Campera Trekking,Ropa,FastFeet,150,Campera resistente al agua y al viento para trekking,
38,Altavoz Smart,Electrónica,SoundMax,130,Altavoz inteligente compatible con asistentes de voz,
39,Set Tazas Café,Hogar,CoffeeTime,30,Set de 4 tazas de cerámica con diseño moderno,
40,Zapatillas Niño,Ropa,FastFeet,50,Zapatillas cómodas y resistentes para niños,
41,Bicicleta Urbana,Juguetes,SpeedCycle,300,Bicicleta ligera para uso urbano con cesta delantera,
42,Laptop Office 14,Electrónica,TechCorp,800,Laptop para oficina con procesador i5 y 8GB RAM,
43,Chaqueta Lluvia,Ropa,StyleWear,90,Chaqueta impermeable ligera para días lluviosos,
44,Monitor Oficina 24,Electrónica,TechCorp,200,Monitor de 24" para productividad y oficina,
45,Set Cocina Básico,Hogar,KitchenPro,100,Set de utensilios de cocina esenciales de acero inoxidable,
46,Audífonos Bluetooth,Electrónica,SoundMax,70,Auriculares inalámbricos con buena autonomía,
47,Lámpara Escritorio LED,Hogar,BrightLight,45,Lámpara compacta con brazo ajustable y luz LED,
48,Smartphone Mini,Electrónica,TechCorp,550,Teléfono compacto con pantalla de 5.5" y buena batería,
49,Correa Reloj,Accesorios,TimeMaster,25,Correa de repuesto para reloj de cuero o silicona,
50,Juego Puzzle 3D,Juguetes,FunGames,35,Puzzle 3D de madera para desarrollar habilidades cognitivas,
